Date,Total_Bed_Capacity,Total_Beds_Occupancy,DCH & DCHC_ Bed_Capacity,DCH & DCHC_ Beds_Occupancy,CCC2_Active_Bed_Capacity,CCC2_Active_Bed_Occupancy,ICU_Bed_Capacity,ICU_Beds_Occupancy,O2_Bed_Capacity,O2_Beds_Occupancy,Ventilator_Bed_Capacity,Ventilator_Beds_Occupancy,non_ICU_Bed_Capacity,Total_positive_tests,Total_tests,Stable_Symptomatic,Critical
2020-06-07,17936.0,13739.0,10531.0,9227.0,7405.0,4512.0,1157.0,1141.0,5114.0,3760.0,476.0,446.0,3957.0,1385.0,4954.0,,
2020-06-08,18110.0,13759.0,10702.0,9278.0,7408.0,4481.0,1164.0,1154.0,5946.0,4532.0,493.0,471.0,4782.0,1294.0,3671.0,6769.0,916.0
2020-06-09,17835.0,13390.0,10314.0,9065.0,7521.0,4325.0,1158.0,1142.0,5181.0,3948.0,503.0,481.0,4023.0,999.0,4720.0,7007.0,968.0
2020-06-10,17617.0,13143.0,10338.0,9030.0,7279.0,4113.0,1163.0,1152.0,5202.0,3905.0,507.0,483.0,4039.0,1505.0,4633.0,,
2020-06-11,17732.0,13146.0,10450.0,9098.0,7282.0,4048.0,1181.0,1167.0,5260.0,3986.0,530.0,497.0,4079.0,1458.0,4773.0,10157.0,986.0
2020-06-12,17781.0,13173.5,10482.0,9216.5,7299.0,3957.0,1193.5,1178.0,5273.0,4056.0,531.0,508.5,4079.5,1327.0,5038.0,,
2020-06-13,17830.0,13201.0,10514.0,9335.0,7316.0,3866.0,1206.0,1189.0,5286.0,4126.0,532.0,520.0,4080.0,1333.0,4540.0,10845.0,978.0
2020-06-14,17805.0,13142.0,10492.0,9244.0,7313.0,3898.0,1197.0,1187.0,5298.0,4060.0,525.0,514.0,4101.0,1342.0,3936.0,10209.0,979.0
2020-06-15,18262.0,12784.0,11135.0,9545.0,7127.0,3239.0,1163.0,1162.0,5612.0,4315.0,532.0,521.0,4449.0,1013.0,3370.0,9349.0,1031.0
2020-06-16,17654.0,12347.0,11148.0,9144.0,6506.0,3203.0,1197.0,1159.0,6951.0,5644.0,757.0,741.0,5754.0,912.0,5028.0,10057.0,1009.0
2020-06-17,18294.0,12870.0,11776.0,9742.0,6518.0,3128.0,1215.0,1163.0,7114.0,5943.0,714.0,699.0,5899.0,1290.0,4439.0,10185.0,1001.0
2020-06-18,18380.0,12303.0,11862.0,9387.0,6518.0,2916.0,1278.0,1183.0,7212.0,5902.0,704.0,676.0,5934.0,1240.0,4743.0,10657.0,961.0
2020-06-19,18424.0,12352.0,11906.0,9407.0,6518.0,2945.0,1219.0,1147.0,7275.0,5995.0,701.0,678.0,6056.0,1221.0,4329.0,11023.0,957.0
2020-06-20,18434.0,12271.0,11891.0,9331.0,6543.0,2940.0,1258.0,1186.0,7236.0,5010.0,724.0,699.0,5978.0,1141.0,4265.0,11133.0,978.0
2020-06-21,18059.0,12145.0,11891.0,9301.0,6168.0,2844.0,1305.0,1225.0,7226.0,5977.0,734.0,706.0,5921.0,1190.0,4206.0,11425.0,879.0
2020-06-22,18070.0,12207.0,11901.0,9253.0,6169.0,2954.0,1315.0,1215.0,7226.0,5977.0,734.0,704.0,5911.0,1070.0,3271.0,11504.0,965.0
2020-06-23,18392.0,12183.0,12130.0,9207.0,6262.0,2976.0,1362.0,1254.0,7382.0,5901.0,767.0,730.0,6020.0,819.0,4518.0,11641.0,963.0
2020-06-24,18391.0,12037.0,12122.0,9199.0,6260.0,2838.0,1362.0,1258.0,7374.0,5915.0,767.0,735.0,6012.0,1086.0,5311.0,10822.0,969.0
2020-06-25,18412.0,11995.0,12146.0,9232.0,6266.0,2763.0,1375.0,1273.0,7385.0,5935.0,771.0,739.0,6010.0,1303.0,4891.0,10687.0,994.0
2020-06-26,18744.0,12121.0,12478.0,9299.0,6266.0,2822.0,1394.0,1290.0,7705.0,5985.0,770.0,744.0,6311.0,1224.0,5199.0,10226.0,1005.0
2020-06-27,18775.0,12004.0,12479.0,9284.0,6296.0,2720.0,1400.0,1289.0,7700.0,6007.0,775.0,743.0,6300.0,1384.0,5193.0,10550.0,1015.0
2020-06-28,18796.0,12071.0,12479.0,9284.0,6317.0,2789.0,1400.0,1299.0,7700.0,6006.0,775.0,745.0,6300.0,1252.0,4693.0,10803.0,987.0
2020-06-29,18854.0,11920.0,12536.0,9198.0,6318.0,2722.0,1431.0,1263.0,7724.0,5877.0,804.0,751.0,6293.0,1174.0,3955.0,11066.0,1000.0
2020-06-30,18854.0,11998.0,12536.0,9312.0,6318.0,2686.0,1431.0,1257.0,7724.0,5969.0,804.0,750.0,6293.0,858.0,5131.0,10789.0,957.0
2020-07-01,19205.0,12263.0,13061.0,9587.0,6144.0,2676.0,1557.0,1415.0,7893.0,6114.0,928.0,861.0,6336.0,1446.0,6044.0,10470.0,951.0
2020-07-02,19561.0,12288.0,13401.0,9607.0,6160.0,2681.0,1567.0,1421.0,8425.0,6261.0,927.0,867.0,6858.0,1497.0,5172.0,7786.0,953.0
2020-07-03,19519.0,12401.0,13359.0,9665.0,6160.0,2736.0,1585.0,1440.0,8406.0,6284.0,935.0,878.0,6821.0,1311.0,4945.0,9070.0,1022.0
2020-07-04,19973.0,12766.0,13789.0,9866.0,6184.0,2900.0,1540.0,1410.0,8836.0,6390.0,885.0,849.0,7296.0,1114.0,4736.0,8546.0,1017.0
2020-07-05,19913.0,12705.0,13789.0,9826.0,6124.0,2879.0,1540.0,1410.0,8836.0,6404.0,885.0,846.0,7296.0,1240.0,4510.0,8736.0,947.0
2020-07-06,21683.0,12898.0,15609.0,10046.0,6074.0,2852.0,1606.0,1482.0,10549.0,6468.0,942.0,900.0,8943.0,1174.0,3961.0,8357.0,984.0
2020-07-07,23252.0,12848.0,17178.0,9982.0,6074.0,2866.0,1729.0,1487.0,11589.0,6459.0,1051.0,914.0,9860.0,759.0,5483.0,7757.0,1049.0
2020-07-08,23314.0,12747.0,17239.0,9990.0,6075.0,2757.0,1733.0,1500.0,11640.0,6418.0,1052.0,922.0,9907.0,1288.0,5539.0,8013.0,1058.0
2020-07-09,23414.0,12820.0,17239.0,9984.0,6175.0,2836.0,1733.0,1507.0,11640.0,6386.0,1052.0,911.0,9907.0,1233.0,5412.0,7892.0,1144.0
2020-07-10,23084.0,12616.0,16859.0,9960.0,6225.0,2656.0,1738.0,1523.0,11250.0,6337.0,1054.0,920.0,9512.0,1303.0,5899.0,7620.0,1129.0
2020-07-11,22756.0,12626.0,16859.0,9889.0,5897.0,2737.0,1738.0,1514.0,11250.0,6303.0,1054.0,915.0,9512.0,1242.0,5769.0,7520.0,1157.0
2020-07-12,22821.0,12740.0,16859.0,10011.0,5962.0,2729.0,1738.0,1498.0,11250.0,6394.0,1054.0,920.0,9512.0,1178.0,5278.0,7401.0,1126.0
2020-07-13,22819.0,12619.0,16855.0,9893.0,5964.0,2726.0,1737.0,1510.0,11247.0,6298.0,1053.0,928.0,9510.0,1099.0,5241.0,7575.0,1158.0
2020-07-14,22843.0,12663.0,16862.0,9771.0,5981.0,2691.0,1737.0,1525.0,11254.0,6215.0,1053.0,932.0,9517.0,894.0,6579.0,7625.0,1037.0
2020-07-15,22885.0,12335.0,16862.0,9773.0,6023.0,2562.0,1737.0,1534.0,11254.0,6210.0,1053.0,932.0,9517.0,1318.0,7070.0,7257.0,1153.0
2020-07-16,22886.0,12433.0,16862.0,9832.0,6024.0,2601.0,1737.0,1521.0,11254.0,6256.0,1053.0,929.0,9517.0,1418.0,5955.0,7355.0,1351.0
2020-07-17,22666.0,12488.0,16862.0,9909.0,5804.0,2579.0,1737.0,1516.0,11254.0,6343.0,1053.0,928.0,9517.0,1131.0,6033.0,6731.0,1336.0
